,AAPL,AMT,AMZN,BAC,CAT,CVX,GE,GLD,GOOGL,IEF,JNJ,JPM,KO,LIN,MSFT,NEE,PG,SPY,TLT,UNH,XOM
2015-01-01,59.74166269803991,196.75697219887093,120.04218615037313,117.77753980705714,193.17032537330005,114.40757221401196,73.60254084260491,130.9020503811211,214.76880790976668,76.04089760129204,160.8961551527674,76.45185878874277,59.83656968789634,125.74195491305855,181.57666326605298,104.99746663925495,139.14622954748353,148.26618494862453,218.25805626837925,213.7958416810703,50.46944197018446
2015-01-02,59.119400689402404,195.47009899965815,118.17624485130081,114.94764092183749,193.0543954678012,115.52669531984505,71.93733915446346,130.523943269568,212.6889663553301,74.61876018383215,159.33744865340913,75.68823379593053,58.991978354526005,122.59437192482946,179.3810745977838,103.92203219553014,137.47934823427434,144.33661409794712,214.89912552358933,212.26037341072424,50.2779069104506
2015-01-05,58.5399526438353,194.87566964101018,118.66665790210786,112.3282372595812,193.2409748024196,114.46834608660609,72.06425997169035,128.61559753715912,208.63933911152102,72.21314591162361,157.86398969437124,75.17649467576726,57.30099658149031,122.1929503963598,173.28687744603712,102.89066418846035,135.20505180510256,141.10537398014438,211.9656347813766,209.5472769221918,49.51296637110573
2015-01-06,59.174669852250524,194.6541455243108,120.27285315067452,111.31019118235078,195.64480474844424,116.48665398332992,70.64309602811623,127.73177479904726,209.69656911800053,72.21332923255109,159.09946653888292,75.11803290259371,57.64214850436366,122.41321494020578,176.55679844266533,103.55689056337079,135.57842608667121,140.89615126592687,211.55450184281307,208.0332128408602,49.8133337297163
2015-01-07,58.93485824343743,194.9914000897324,123.04673339546301,112.91417251473342,196.27785281182767,118.50323314903834,71.02142264056506,125.54705933255377,208.2201852771244,71.05705519659749,158.79744657470968,75.18873422947685,59.279597323281926,123.50828264864663,176.36013995027045,105.21947854955688,133.74822763356462,142.26883343646585,213.77297809003807,206.51111473831713,50.450462865846
2015-01-08,59.16151039526345,194.50134590669984,124.0488436390259,116.28846122328267,198.24356836177986,119.40846230556863,71.16916184381225,125.43468727082315,210.30406563104756,71.14017353543835,159.825929119153,75.25373470274475,60.18492460444175,124.98963032931351,180.18063557128576,105.60589463953144,134.44643964041018,142.3521750506082,214.32639162181687,208.031885004789,51.24134952684916
2015-01-09,58.61540846919459,195.63510215081257,125.76937550078162,117.11694850430378,204.65954696732328,119.1673196194453,70.64095593317877,123.46159148083869,212.3251847011396,72.17051819212024,160.8541847863018,75.65462449433117,59.369524900235284,130.1201171921451,181.17680881047693,106.35613645598941,136.08101521431357,143.8810352984651,216.9831016029485,206.78603226393463,51.5814437194992
2015-01-12,59.79308935611706,200.48382515568395,129.96509998601948,118.55734231625785,206.88025405225116,120.81547332437634,72.08371709094855,127.23253772290197,212.30451608013726,74.83737361171268,162.5757394042033,76.39250927143026,59.98003145967224,129.79792232428468,187.62144067864511,108.01257286019556,136.21223738786614,143.71516053199565,218.8428112503588,211.5637774572663,52.515795692244986
2015-01-13,58.88426153743267,198.60810916082,128.48911307484673,113.70975609983898,202.9327808978222,119.2317568864576,71.55059585409859,128.01252828705188,212.55036865748983,73.4314257865915,159.93868542423158,77.31180941371308,59.06220141972316,128.58185484909905,184.53735111433323,107.07935697681668,134.76760312539574,141.02271897831125,216.08065572135365,209.76050521838107,51.678131135769505
2015-01-14,58.46787121942075,198.26973992832936,127.73000486677005,115.4425611740014,194.7752801441271,119.99696500121642,72.17644226461842,124.10107680512304,211.17285895336443,73.07526191973558,156.8744353962445,76.52609349965446,57.511633198846845,130.2197002919174,185.90234362972544,107.90035507641129,135.3883306890938,138.22239977383083,214.66565999736747,209.95615441744823,50.745845354337426
2015-01-15,58.9217903291508,198.51180110212565,127.62057132669037,116.70629806357283,196.83555737040282,119.92721631686103,73.40068248931608,123.42658218993486,212.7706684364609,74.07260769870446,156.85861863964436,76.88782751118646,56.71045434369281,132.7379727879893,186.85624595673215,107.65884046947389,137.257052130904,138.09165474639116,213.03260772394427,208.2279024469662,51.31215694374871
2015-01-16,58.160774609122655,201.3066799302649,124.52511005138452,118.78523198173055,196.8766811395573,119.422716965006,72.56195913202657,123.5294188763707,212.6649103190242,75.09308230812496,157.19517830989903,77.18992669427652,56.43605141043603,132.00892557721792,187.09539064102614,105.77458568211185,135.95945824106843,138.43682363194478,213.1469508815971,207.70392359845246,51.088110414213766
2015-01-19,58.389967090017315,200.53077326646778,123.49039399721084,118.8698451653921,193.52160626161296,119.53926030077801,70.8303237271603,124.16365297095511,213.24951155918208,75.1227299656994,158.39404847956754,78.24152432917846,57.45552794851398,128.1703651925765,183.02489272715187,104.99907418803633,135.53015541956717,139.03782641094446,210.6343828012675,207.82528274294702,50.43789493018887
2015-01-20,58.0382063640243,196.933085484362,121.30970344255151,115.71885148436144,187.33537474691062,119.30051586869668,68.99301893692987,125.95297507096905,212.91332869914746,74.19178039315578,156.21577250602576,78.27228924556618,56.057974738416036,126.59623879493634,186.97891696654872,103.7415152193914,135.31099550604438,136.11294047760444,208.2797289975925,208.41147566089475,49.621547527575544
2015-01-21,59.161462545848316,200.31687091206436,122.01754984688291,117.92786256457023,193.1242679349892,121.20105029641152,68.81205646544986,126.64374892308923,214.34866149378527,75.08731424710741,158.61279615001433,79.14953418279137,55.93296562478423,129.3067122745942,191.74981475362773,105.37966837638267,137.78424067388178,139.5266161815173,211.5697387546922,209.90946856918677,49.12438179151336
2015-01-22,59.44529860508365,201.29444619769114,122.80647604217162,116.55203188605813,190.55837450784637,122.47728155544176,68.92642193162604,127.56070059740148,214.79870331578516,75.21574999622214,160.08972210352465,79.06753547936542,56.38279230864994,128.86102443560412,191.35996494098788,105.14841200583002,137.83884600017035,138.68016750273043,214.41309205146408,208.49092911779516,49.11275601360553
2015-01-23,59.192847641467715,204.24520843273328,123.41259989678396,118.5608828708788,187.9267220445844,123.17081825433905,69.87544187821284,128.1020985181787,217.29368022828749,75.58919462548667,162.82356984249202,80.89531037656847,56.99410288816287,129.27167901134948,197.38793686616467,107.8144385524955,138.19378408804928,139.93599888689053,215.63760060726733,207.95749908762707,48.793235917352554
2015-01-26,58.59647479766575,201.63809414785595,122.46321951271064,117.9694431273363,190.20624614231255,121.48514863292814,70.18799142999642,127.56280184657182,216.3997021183343,75.68552848777465,160.63622082634123,80.73814069980362,56.427237253634445,129.30742580161382,196.552763894477,109.88832156573791,137.24198590872376,138.27675240721956,213.92283068632167,206.69446519161474,48.28022466661527
2015-01-27,59.34448121618042,206.1269924926382,123.03875971135248,118.05697117263281,193.9501497174348,121.73176072915346,71.36965860193293,129.1748907029007,215.52419716840114,77.6180432155528,163.9044267050876,80.94484251651467,57.08533404232792,131.58299942014804,201.0428462456016,111.36011649092633,140.14972667341814,139.16406091484578,213.7502740198156,205.9766048234777,48.46485906825378
2015-01-28,59.34289202933411,210.36840630305966,123.04146594818532,119.1475479345941,195.5574711218179,123.60672296603842,74.10500682813233,129.88587104810543,216.25356302996067,79.53313183042646,165.8510437484358,82.72486252541326,58.71249375849438,133.2579009340124,206.24455066149125,113.87795568685611,142.1315804395075,142.67501639796933,219.36153322017847,210.50484405297686,49.989618651514
2015-01-29,59.76362965188018,210.73277677675318,123.65684058984326,121.31051045049941,194.5448990597789,124.4796192617297,74.10702826818418,130.52141196812906,219.17046202853004,80.53518545450025,166.90299647749825,82.33408338250703,59.92936663752646,135.50732483188048,214.3080104292998,114.3612771877527,143.2098869016525,144.53667297386014,224.85931734033537,211.28473038247867,50.48705079914437
2015-01-30,60.16180646273811,211.89130917028126,123.54852670413146,121.99505763709801,198.489191076765,123.71125689868293,74.47467957595106,130.18528212227102,221.63608541539975,79.4075570517426,166.61671717857584,82.62421299802138,61.51746140525295,136.48277215505001,212.84939134302627,116.89767138262071,142.34554471264968,141.57860727624688,227.73435906614813,211.41173107631104,50.22310967695685
2015-02-02,60.625949413454784,213.29427632071074,123.36248110439108,120.54803864748995,201.40328777783486,124.6460825961916,74.69979136257149,133.7322287626055,221.07807080093818,77.90022896863937,166.0558000418251,82.81263392275754,61.85257999782942,137.120119299373,214.52109060242424,115.57490357248602,143.95611880731107,142.1437051546118,230.61957108261845,212.2031946711247,50.63041272029403
